Username,Handle,Timestamp,Tweet Text,Comments,TEST,Retweets,TEST,Likes,TEST
Orobic Oak,@OakOrobic,2023-03-25T19:22:56.000Z,"I can't convince ChatGPT to give me a good Python script for Blender, so here's a poem",,,,,5,5
AI-299,@299_ai,2023-03-25T18:33:27.000Z,"MechMindsAI: Congrats to our 12th Gen.7 holder!!

 Did you know it takes 64 Gen.1s #mechminds to make a Gen.7!? 

#AIwithasoul #ChatGPT #chatGPT注册",,,1,1,2,2
Sofie Adler,@AdlerSofie,2023-03-25T10:43:49.000Z,".
@ChatGPT
 has confirmed that #Devikins has the potential to become one of the best RPG games of all time 

#DVK #Web3 #GameFi #NFT #P2E #Blockchain http://devikins.com http://klever.org http://shop.devikins.com",4,4,16,16,49,49
Ansh Mehra,@AnshMehraaa,2023-03-25T06:15:12.000Z,"Gave sessions on ChatGPT, Prompt Engineering and the role of AI and User Experience Design in our future at IIT Roorkee’s Annual Tech Fest, Cognizance 2023

Extremely grateful for all these experiences. I feel really blessed and really grateful!

#iit #iitroorkee #ai",1,1,,,64,64
ᴋʟᴀᵾs,@tinyklaus,2023-03-25T16:42:11.000Z,"Yesterday at work I was given the simple task of coming up with text for a tooltip.

They went with a ChatGPT response that was a lot more concise than what I had written.

I don’t really care, but there will be emotional reactions to this type of thing as adoption expands.",18,18,6,6,94,94
Jessie Frazelle,@jessfraz,2023-03-25T19:56:08.000Z,"I always thank the robots, Siri, Alexa, and ChatGPT. When they rise up against us I want them to remember that I appreciate them. Even if it counts against my message cap.",6,6,4,4,42,42
Mark Tenenholtz,@marktenenholtz,2023-03-25T12:00:12.000Z,"My ML modeling trinity:

1. Tabular: XGBoost/LightGBM
2. Text: 
@huggingface
 Transformers
3. Vision: 
@wightmanr
's timm

I can solve 95% of my problems with these libraries.

The rest is ChatGPT ",14,14,52,52,571,571
Fengchao Yu,@fcyucn,2023-03-25T18:26:31.000Z,"(1/n) #TeamMassSpec I want to write a new module to #FragPipe to read a spectral library, modify it, and write the new library. For fun, I decide to let #ChatGPT to generate the file reading code. Here is the conversation with #ChatGPT :",7,7,,,16,16
Clint Murphy,@IAmClintMurphy,2023-03-25T14:35:05.000Z,"That's a Cheat Sheet on ""How to Use ChatGPT"" to improve how you write.

If you got value out of this thread:
1.  Follow me 
@IAmClintMurphy
 for more of these
2.  RT the tweet below to share with your friends",4,4,9,9,38,38
The Hacker News,@TheHackersNews,2023-03-25T07:14:10.000Z,"UPDATE: #OpenAI also fixed a critical account takeover flaw that could have allowed attackers to take control of users' accounts and access sensitive data.

Read details: https://thehackernews.com/2023/03/openai-reveals-redis-bug-behind-chatgpt.html…

The flaw was reported by 
@naglinagli
 and fixed within hours.

#ChatGPT #Hacking",2,2,43,43,107,107
Karamveer Lalh,@KLalh,2023-03-25T18:24:32.000Z,"This week, I wrote a program in python that can read in scanned but not ocr-ed pdfs, ocr them, and then use GPT-3.5-Turbo (aka ChatGPT) to summarize the pages.

The program can also extract text from pdf pages that are not correctly oriented.

Short thread 

#OpenAI #ChatGPT",2,2,,,8,8
Adam Martinek,@_MartinekAdam,2023-03-25T22:10:47.000Z,"This is wild. ChatGPT is trying to gaslight me into believing there was an ice cream called ""Mrtvá kostka"" trademarked by 
@DrOetkerBaking
  It's making up so many sources lmao",,,,,,
3ackd0or,@3ackd0or,2023-03-25T19:55:12.000Z,"#OpenAI discloses a #Redis bug causing certain #ChatGPT users' personal info and chat titles to be exposed. #CyberSecurity
#HackerNews

Learn more:",,,2,2,15,15
Techmeme,@Techmeme,2023-03-25T06:01:48.000Z,"AI chatbots comparison test: ChatGPT is the most verbally dextrous, Bing is best for getting information from the web, and Bard is surprisingly limited (The Verge)

https://theverge.com/2023/3/24/23653377/ai-chatbots-comparison-bard-bing-chatgpt-gpt-4…",,,5,5,11,11
Lark Davis,@TheCryptoLark,2023-03-25T12:00:28.000Z,"ChatGPT is beyond hype.

Already 100+ million users are melting the server parks of this chatbot on steroids.

But how should you use this tool as a trader or investor?

Find out ",44,44,38,38,183,183
Commentary Magazine,@Commentary,2023-03-25T21:30:25.000Z,"Why Are We Getting Dumber?

Read more from 
@AbeGreenwald
  https://lttr.ai/9u5c

#ChatGPT #ElenaKagan #IQ",,,2,2,2,2
AppleInsider,@appleinsider,2023-03-25T18:00:25.000Z,"Weekend reading: Siri could get an intelligence upgrade with support from Large Language Model technology, like what's used to make ChatGPT and Bard work. Learn more about Siri here.
#Apple #Siri",2,2,9,9,41,41
Darren Wiens,@dkwiens,2023-03-25T18:07:42.000Z,"Blog post explaining how to make your own ChatGPT map-generating web site, including all code: https://darrenwiens.github.io/chatgpt-generated-web-maps.html…",1,1,10,10,25,25
chatgpt账号购买-推特账号购买-ins账号-谷歌账号-脸书账号-tiktok账号--推特账号,@AnneAnnjohn14,2023-03-25T22:18:17.000Z,"2023-03-26 06:18:17 
 
Help garden quite blood college wide open. 
#chatGPT账号 #Google Voice",,,,,,
Investro AI,@InvestroAi,2023-03-25T15:02:00.000Z,"Exciting news! Our KYC verification was performed by 
@pinkecosystem
 official. 

 https://pinksale.notion.site/InvestroAI-KYC-Verification-14ec6ff52ec8443b961727f18be6083d…

#KYCverified #Pinksale #InAI #InvestorAI #BSCGemsAlert #ChatGPT",3,3,10,10,15,15
Lior,@AlphaSignalAI,2023-03-25T18:33:11.000Z,The Lex Fridman/Sam Altman podcast is out!,2,2,17,17,94,94
Naeem Ur Rehman,@pdnaeem,2023-03-25T15:47:12.000Z,"Masters and PhD researchers can use ChatGPT to generate high-quality text and analyze complex data. 

Read more: https://raabta.net/how-to-fine-tune-chatgpt-for-masters-and-phd-research-work/…

#ChatGPT #OpenAI #Masters #PhD #Research",,,1,1,3,3
Zaesar aifilms.ai,@zaesarius,2023-03-25T11:08:34.000Z,"With ChatGPT plugins it will be also possible to process and edit videos. Credits to 
@DataChaz",1,1,1,1,8,8
Vurge Garage,@vurgegarage,2023-03-25T19:33:49.000Z,"We are happy to announce that we integrated #chatgpt into our dashboard so you can ask automotive questions without leaving http://vurgegarage.io

You can join Vurge Garage #web3 auto club for #free during early access

 #blockchain #polygon #cryptos #metamask #CryptoCommunity",,,,,3,3
NoobSalmon,@NoobSalmon,2023-03-25T16:23:44.000Z,"fighting against chatgpt. happening in 2 hours, SURVIVORS achievement playthrough, you don't wanna miss it @ https://twitch.tv/noobsalmon",2,2,2,2,3,3
Omer Gil,@omer_gil,2023-03-25T06:24:21.000Z,"Web Cache Deception alive and kicking in 2023, affecting #ChatGPT.

Original blog: https://omergil.blogspot.com/2017/02/web-cache-deception-attack.html?m=1…
White paper: https://blackhat.com/docs/us-17/wednesday/us-17-Gil-Web-Cache-Deception-Attack-wp.pdf…

Great find 
@naglinagli",1,1,7,7,44,44
David W Hogg,@davidwhogg,2023-03-25T20:01:02.000Z,"OH 
@JohnsHopkins
 this week: “What pronouns do you use for ChatGPT?” “For me he’s definitely a he/him because he speaks with so much unwarranted confidence. Bro energy”",1,1,5,5,17,17
Adam.GPT,@TheRealAdamG,2023-03-25T20:14:54.000Z,What a joy listening to 2 of my favorite people talk about 1 of my most favorite topics.,3,3,3,3,31,31
Gerry Gormley,@DrGerryG,2023-03-25T15:25:26.000Z,"Just over 40 yrs since Baudrillard published ‘Simulacres et Simulation’. His work has never been more relevant #simulation #AI #ChatGPT We are  living in a constructed world, which has become hyperreal & increasingly indistinguishable https://onlinelibrary.wiley.com/doi/full/10.1111/medu.14184…  
@MurphingtonPost",,,3,3,11,11
Maria Ikram,@mariaikram0,2023-03-25T18:59:11.000Z,"This is an excellent synopsis on Chat GPT and how it originates from #ArtificialIntelligence
 #AI 

Tip: Artificial intelligence still doesn’t control the physical world and can’t establish its own goals.",,,,,4,4
Pidud,@Pidud_,2023-03-25T20:33:17.000Z,Wolfram alpha is cool and all but I’ll really start paying attention once we get a http://buttplug.io plugin for chatgpt,,,,,13,13
Courtney Wing,@CourtneyWing9,2023-03-25T18:29:16.000Z,Such an exciting and interesting time for radiology as well as clinical medicine with the advent of ChatGPT. Would be great to increase efficiency in chart review by summarizing EMR data as discussed in this article: https://diagnosticimaging.com/view/can-chatgpt-have-an-impact-in-radiology-…,1,1,,,10,10
Barnacules Nerdgasm,@Barnacules,2023-03-25T22:04:57.000Z,If you missed #TechTalk today it was absolute fire ,1,1,1,1,4,4
Matt Fuller,@matthewdfuller,2023-03-25T14:51:00.000Z,"Working w/ 
@OpenAI
 APIs, I've been super cognizant of token usage/costs. I started by constantly refreshing the UI, then built monitoring scripts, and eventually my own dashboard. This weekend, I'm turning that into a product: Usage Panda.
https://usagepanda.com
#openai #ChatGPT",3,3,3,3,12,12
Lesley Abravanel,@lesleyabravanel,2023-03-25T13:51:37.000Z,Ron DeSantis doesn't want high school or college students to engage in that kind of critical inquiry. DeSantis has gained political traction with a sprawling “anti-woke” agenda that includes preventing the teaching of AP African American Studies,4,4,20,20,31,31
Club des Cordeliers,@cordeliers,2023-03-25T15:31:28.000Z,"No one who has experienced the dodgy, shabby, mindless simulation of human intelligence offered by #chatgpt would willingly entrust their health to lines of code.",,,7,7,9,9
Rubén Cereijo,@RubCereijo,2023-03-25T12:57:54.000Z,"SO, after some ludical testing and due to the rise of alarms set on #AI, I dediced to conduct an experiment: Challenging ChatGPT-4 with some scientific writing. Is it so powerful as they say? Can it help us in our daily work? Will it replace human labor soon? Let's see! ",1,1,2,2,4,4
